ds,AA,AAPL,AIG,AMGN,AMZN,AXP,BA,BAC,C,CAT,CRM,CSCO,CVX,DD,DIS,GE,GS,HD,HON,HPQ,IBM,INTC,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,MSFT,NKE,NVDA,PFE,PG,SHW,T,TRV,UNH,VZ,WMT,XOM
2015-11-01,-0.09367184620711792,-0.06940233285885997,-0.050447933550990844,-0.05653942468778844,-0.07047955021509525,-0.044903248654260076,-0.04849576309313538,-0.06570842238684695,-0.077795210219412,-0.08831923563926494,-0.07479701958264269,-0.06195231885159755,-0.07721294669772906,-0.05245621427990365,-0.03531958285483996,-0.046392904117443304,-0.06598008086170522,-0.03235259320023833,-0.031993495522189545,-0.09706305028168369,-0.07232678859708766,-0.06510312004188765,-0.056458482083247816,-0.04525047091295177,-0.06321356769969776,-0.05245013926870486,-0.03937272971013101,-0.026974145925613823,-0.04558705297684062,-0.05456617197304881,-0.05572966310828657,-0.027843292606363482,-0.05480822017811168,-0.03779586391845213,-0.04098093559463242,-0.041879433453677346,-0.04640091886195308,-0.04646401999868108,-0.036066646001384754,-0.06004109767668775,-0.06119429093673024,-0.04997635319987253
2015-12-01,-0.09191054738684412,-0.06921281748167034,-0.04878744348920487,-0.05676853118541367,-0.07103844084904674,-0.0454773122854118,-0.050501552867361965,-0.06624186989457717,-0.07519370033304494,-0.08844906879005812,-0.07631369856772177,-0.062352234329212955,-0.0759319742929868,-0.052840206062058685,-0.03569089333693484,-0.04550551637268312,-0.06456270441631956,-0.03678665634684884,-0.03185411656909001,-0.09466532434036042,-0.07182079677214058,-0.059429371948231634,-0.058033669119105145,-0.044765210182663974,-0.06175729963233008,-0.0528258982639804,-0.033559729203960685,-0.028147729721192855,-0.04961547736004231,-0.05459502202976719,-0.05404962072690721,-0.02943258431905034,-0.05446539324490759,-0.03882582282261482,-0.041763111025950435,-0.03562701607602355,-0.04579042229508784,-0.04600365441056819,-0.0421107865914682,-0.06051748574610458,-0.0608770402977293,-0.04941574594688746
2016-02-01,-0.10394812247663497,-0.06785121019643583,-0.05166859675956063,-0.0602516962197147,-0.08679132372100257,-0.04707283433656132,-0.07170543973439113,-0.07583582326182625,-0.0871612909013934,-0.08896733609046399,-0.08641345727840383,-0.07249832489259081,-0.0797787181215642,-0.05403030722943966,-0.05962932886386241,-0.052325389403115846,-0.07465190469073213,-0.039392446540510224,-0.02725112689613092,-0.10838897880473512,-0.07751007927433742,-0.06689631998598,-0.07371821506339937,-0.045594281844768866,-0.07275031142205471,-0.05213292062730313,-0.03175150747777732,-0.03203147441942238,-0.04678356138399289,-0.04971109630010372,-0.049284528687801206,-0.037855797846454244,-0.06160203267289618,-0.043314050424415156,-0.041472225580559574,-0.04399393612591346,-0.04446773398798741,-0.05031049949898589,-0.041896774236314015,-0.05844132590488918,-0.05180292680447608,-0.05124957468164479
2016-04-01,-0.09641902892999635,-0.0644818840227116,-0.06055492912367763,-0.0659295330189395,-0.08646033793414143,-0.04744907999736116,-0.057909366411256304,-0.10132051751216097,-0.08924454864220077,-0.09094058785640405,-0.08515505298809097,-0.07192101133549206,-0.0824915107949777,-0.06009890382190117,-0.060104727806511896,-0.05358603622640199,-0.07563166644396795,-0.03887941173532044,-0.027654241730970194,-0.11178935916771693,-0.07581464638974944,-0.07214142670168705,-0.0738659823655609,-0.04360315977182295,-0.07310064353173912,-0.053495670546027364,-0.0372326262680139,-0.033889343115872786,-0.046670953157927464,-0.04909120094821507,-0.05831183936781896,-0.03707731406080176,-0.06778131567715695,-0.04565762510557328,-0.041937571486119644,-0.04224096446764159,-0.04475456221990316,-0.05054125231402835,-0.0397292965405869,-0.05960722179218658,-0.052098933289640735,-0.05054964959525605
2016-05-01,-0.09984870184250866,-0.0726214358668795,-0.061326678860714086,-0.06483943646681602,-0.08205267685893194,-0.047418936399898665,-0.0579883848951263,-0.099497158076498,-0.08866562638412163,-0.08977772706881663,-0.0786955513454783,-0.07290376802308192,-0.08126312084850744,-0.058470384424756466,-0.045170808723104514,-0.05349755978934365,-0.07416614006761132,-0.04021205464447339,-0.025976638538541624,-0.10558896868832472,-0.0786742201054128,-0.07115785554622005,-0.07259514852783346,-0.043867670639679765,-0.07214098116423683,-0.05574723554532755,-0.03838433072598098,-0.03334624776400975,-0.04849439945888434,-0.04771351920280648,-0.0674113294176799,-0.041783073321929445,-0.06989445051779788,-0.053130418422797074,-0.04257210215164734,-0.04332966189029555,-0.045585719883252634,-0.05372524783804003,-0.04044673759122612,-0.06339635530654267,-0.054144602563235306,-0.052401481272120944
2016-06-01,-0.1105385500533113,-0.07124393282942028,-0.062340297148559536,-0.06391994630469697,-0.08107542118312368,-0.04753484543120043,-0.0676463120357772,-0.069460019601373,-0.09071950795821816,-0.09193867192057241,-0.07662119395451696,-0.07113050253604225,-0.0817523818254993,-0.05923546822633976,-0.046363684610287434,-0.05525087230365994,-0.07689096414388381,-0.04259017845657802,-0.023565266634718595,-0.10404307697844078,-0.07556864305849505,-0.0703388405666875,-0.07281697049519452,-0.04337428235981291,-0.07029962969052407,-0.05307531733162054,-0.04006917957783922,-0.03466521883243091,-0.04777053434354465,-0.04681695373704381,-0.06671394799592992,-0.04639464854163613,-0.067890186024948,-0.04273134932078204,-0.04222344247633261,-0.04130729333375277,-0.04187936945934205,-0.05210392933835822,-0.041278382730914526,-0.05909497640382014,-0.056574717807596764,-0.05266864792246859
2016-07-01,-0.10832231250560005,-0.064897858643222,-0.0682365509818739,-0.06436751047400528,-0.0822270263832499,-0.052702240956925286,-0.06770113166425167,-0.10068167618281554,-0.09009862985598101,-0.08960288153470054,-0.06653291440785111,-0.07172810576613244,-0.0796122589435413,-0.0622298807138079,-0.04678645491331293,-0.05394742212031431,-0.07690924858740947,-0.04296233203795328,-0.023266254181889632,-0.106198454048149,-0.07640967629341922,-0.06922966108152528,-0.071433345490183,-0.0456347910032166,-0.07071579249242255,-0.05270402456717254,-0.03552518699749399,-0.03327586920466608,-0.04459433124751777,-0.046001697138698436,-0.06579534991018904,-0.04741076459571484,-0.0669566157436085,-0.04310455706359411,-0.041062417245547836,-0.041802651078510875,-0.04091413744162972,-0.049650622908924476,-0.04097762652421722,-0.05895941932927903,-0.054429775846628586,-0.053897571407284864
2016-08-01,-0.10986331389581533,-0.06555271094638093,-0.06776421035980947,-0.07083124655260965,-0.08290429125846317,-0.0512225174418095,-0.06761176883294284,-0.0867947782932783,-0.09158282101942736,-0.08719771216685085,-0.06808887675845415,-0.07137314894590537,-0.08200715925397707,-0.06095725514420409,-0.04797728172777556,-0.05568585538758784,-0.07651835987470236,-0.04190465202611731,-0.02453826644110727,-0.10747606034155106,-0.07265340229091914,-0.06646476636294306,-0.07331673737750719,-0.04337755175568963,-0.07144477088351621,-0.05371181889594797,-0.03686858883000043,-0.031680762768613195,-0.04526529346079126,-0.04655769725422779,-0.0703643323944844,-0.04684669072641267,-0.06648384794540006,-0.042989070842980676,-0.04195482979798159,-0.03516969035147706,-0.04076068648508582,-0.05158845649435715,-0.03808206636687502,-0.05869876528356325,-0.054484709009679666,-0.056362283633344674
2016-09-01,-0.11040223141227137,-0.06717832059493353,-0.07037101649406495,-0.07131608021405472,-0.08065892329929479,-0.05037203620817758,-0.06817483942278155,-0.09938078315504684,-0.08873091885846836,-0.08727343199674686,-0.07035880016548612,-0.06437427706893835,-0.08131740073350455,-0.05586901116779568,-0.04523697527166726,-0.05140576256339981,-0.0610966714449465,-0.04059920118090769,-0.021251945975556043,-0.09950761417720361,-0.07352554220349353,-0.06402544687760188,-0.07105917575372013,-0.042577681223158165,-0.05507104003958258,-0.049034196850692054,-0.03708028565516191,-0.030571585828529854,-0.04499097976678067,-0.04625142710144194,-0.06988831140090808,-0.04573146950444082,-0.06501753781280589,-0.05111747600823702,-0.040542716650529574,-0.04064152981741456,-0.04201254605158019,-0.049779823880012744,-0.04468223087551505,-0.05906878216578315,-0.05635366298164758,-0.052546741912570194
2016-10-01,-0.11178208945343696,-0.06478096131208733,-0.0718959246493759,-0.07257329494451177,-0.08132764248826095,-0.05040655226078285,-0.06554634665301255,-0.09946920281113847,-0.08913646365875454,-0.08525114954224466,-0.0767142883195668,-0.06426989439880887,-0.08084997163432188,-0.05186403058478397,-0.04737879732070471,-0.05424218781272257,-0.06354052665630497,-0.04209637132881348,-0.022384967575547372,-0.09558668476363275,-0.06876658133122064,-0.06383575600837384,-0.0698374350692973,-0.04297586620934428,-0.056083220030444934,-0.04952589835544525,-0.0354417713323531,-0.03245524394151867,-0.04696816693584461,-0.046607516864713934,-0.061426167080713266,-0.05258525609082098,-0.06338206385175188,-0.05214709641209471,-0.03894619540839079,-0.040971234222960375,-0.04218777891909396,-0.052446319498058606,-0.043825422513820544,-0.05883831588504867,-0.05103994830561977,-0.052097444158569324
2016-12-01,-0.11108433500338571,-0.06985005117987572,-0.07066311879716276,-0.09194993047861062,-0.07998469234369056,-0.05057663510401541,-0.06557825338670835,-0.09832246340523823,-0.09121436503002327,-0.08430728210893496,-0.07650544909743531,-0.06328296757984092,-0.07877236990166152,-0.05217590500146061,-0.048331642476475804,-0.055794874904684225,-0.07000624508065052,-0.04427996167383575,-0.02678146789939693,-0.08921306864080834,-0.06793274227951948,-0.07269840676852637,-0.07052069887117024,-0.04207381197681323,-0.05356793810857324,-0.0524745990451353,-0.0357648918612734,-0.039285386358808336,-0.046402233578923466,-0.04838234689390192,-0.06160592004491644,-0.056307986530690454,-0.05631369719503434,-0.06150737799016775,-0.044360737031979805,-0.05696707668694768,-0.0499345283042837,-0.05462220487857421,-0.03578767479796593,-0.06164899957691036,-0.05327794625666673,-0.0543830734346495
2017-01-01,-0.11487479715107952,-0.06877940081583463,-0.07052048710905348,-0.09146274149360231,-0.08037544704758098,-0.051236895648525405,-0.06497946771195047,-0.0839418632397487,-0.08919486381826926,-0.08716602126469045,-0.07952431047377484,-0.06445284831508338,-0.0777484736072281,-0.05243320961015225,-0.04668136511741192,-0.05646374099791798,-0.07245655311851877,-0.04369754510611407,-0.027192620006206782,-0.09086302795179546,-0.06710217633341958,-0.0685304365787134,-0.08444908072992433,-0.04018603022743479,-0.05255812858852686,-0.05244327619623688,-0.035218476668927884,-0.03954099399479531,-0.04585805285240121,-0.04955815780111645,-0.06232364040796811,-0.055710873097610074,-0.05278732324876365,-0.06017816573480488,-0.04241804767473884,-0.05574593967455975,-0.047836691763869885,-0.05363831997274855,-0.03567991285807741,-0.059443091672842875,-0.05533641717197474,-0.054950462377097366
2017-02-01,-0.11923615637743144,-0.06066651756441936,-0.06920147217687216,-0.09065940368648034,-0.06886986526775761,-0.051970547570189825,-0.05991328148645582,-0.08282415856111591,-0.08360206174790144,-0.08723966051123913,-0.07955525224740735,-0.06334926912377126,-0.07207746895988333,-0.0507462676361988,-0.04368824314784252,-0.05174988470183601,-0.07145036176862658,-0.04071013871506169,-0.0265578194193107,-0.09139460490612682,-0.0670501865841195,-0.0665897861155894,-0.08186497374676659,-0.03939736520768508,-0.04656615764143408,-0.04856460836298946,-0.03515772846340625,-0.03225432434333187,-0.03859959830928532,-0.049722861268041464,-0.06323401952114482,-0.048805098504673114,-0.05159748389192592,-0.06061099612711961,-0.0338989440191756,-0.055785706925881556,-0.04587869292625377,-0.050538622202893194,-0.032223319586538894,-0.06440000172455086,-0.055305406786175945,-0.0544295134591781
2017-03-01,-0.12120868962554104,-0.06230417737267989,-0.0703967721247808,-0.09918263592485144,-0.0684066779347676,-0.04805113949110021,-0.059267274390438635,-0.08325777273443996,-0.0823305717367249,-0.08780895265693148,-0.07960950431199706,-0.0676805809810133,-0.07271129489969493,-0.04534550465215361,-0.0439532336438585,-0.052022830509828,-0.06957472636533299,-0.041102550683911304,-0.030461084520541946,-0.09524340447359486,-0.06138008353259775,-0.06730655076590263,-0.08465223490218503,-0.04649733942774079,-0.04564446899065273,-0.0485830930355235,-0.03318769167210178,-0.03732086269871247,-0.03796031196342359,-0.04663016571712592,-0.0632040508531156,-0.05235195076445712,-0.058298211186078495,-0.060788240789617136,-0.03361759125611859,-0.055316902511591944,-0.04501044844193046,-0.0503616492453074,-0.03357894963216981,-0.0637924406146786,-0.05229941115509522,-0.05651927146431709
2017-04-01,-0.1241149423207084,-0.06154921994759838,-0.07117822448496292,-0.10095370405893181,-0.0644451004533708,-0.050071275617435296,-0.058965648024852435,-0.0841197666456201,-0.08165803195468269,-0.08961722397264794,-0.07520823144333544,-0.06877940483473045,-0.07484086124432514,-0.04567343677979876,-0.04286621101740137,-0.05251541026766962,-0.07232054966360851,-0.035381169537894205,-0.029866608277370792,-0.09673333076963761,-0.06337961318796378,-0.06866279972457286,-0.08390742642246087,-0.03968204796089856,-0.0483983361332748,-0.048599820932406425,-0.03284266889495188,-0.036768308828363475,-0.04371213872284757,-0.04750549352150719,-0.062533765291643,-0.04784650628661664,-0.05563323009012868,-0.06067156117315726,-0.03467478156073143,-0.05418461175499112,-0.04258351779102712,-0.0511654049003953,-0.035505843154010376,-0.06427912832100356,-0.05185648252864844,-0.05663387020656737
2017-06-01,-0.1268902641264527,-0.06077547095916877,-0.07277248643078399,-0.09004020081924693,-0.05205589589344793,-0.04923950794755167,-0.059415753552207656,-0.0748971681632189,-0.08122375253068519,-0.08807164995567128,-0.06877650750172658,-0.07379553619096411,-0.07679242156217655,-0.048057564594289316,-0.04855980770794501,-0.05686699924378447,-0.07390788509355058,-0.034454091321159834,-0.02849374418193831,-0.09624253194618757,-0.07196087015606638,-0.07023469419170245,-0.08377317044940931,-0.03975945715290465,-0.047867942449292926,-0.04722221941555527,-0.04303564539681516,-0.03628276221552619,-0.04176027295827128,-0.04736638236009464,-0.06311625850173018,-0.05029876378820335,-0.05768244129508489,-0.0590483300319546,-0.03529457587822295,-0.05574431308008573,-0.048282757571686256,-0.0528085481767619,-0.032447355221996675,-0.06356324750787995,-0.05323009049102572,-0.05798221792857317
2017-07-01,-0.12981587714053208,-0.06318447206646755,-0.07351906779170096,-0.08949946879021511,-0.05388627721357377,-0.04940998431744525,-0.05479320863553545,-0.07287904681150262,-0.08186298300069976,-0.08928667213713402,-0.07027678673817157,-0.07425766705562072,-0.07828696973957656,-0.04852395750812186,-0.04956674686471961,-0.056713571710636665,-0.0738361637057956,-0.034566317651883297,-0.02836689822692873,-0.09828706867527115,-0.06654303513747481,-0.07478317581158239,-0.0834257077590179,-0.03975920021249011,-0.04922559820064743,-0.04858552512124345,-0.04263146303675848,-0.035914146326751356,-0.042371409694728024,-0.04779673917294929,-0.06292123303195975,-0.05117352467186716,-0.05840981875807244,-0.05826687301745024,-0.034834562413178546,-0.05472630645800251,-0.048773371326047955,-0.05261904351038927,-0.03156315822346065,-0.06416981812679,-0.052977952257487936,-0.05787010810368074
2017-08-01,-0.1294237677609967,-0.06307413550136103,-0.07080863017914207,-0.09124846065363454,-0.05231029463421389,-0.05010661752377844,-0.049055117700466506,-0.07346133107730224,-0.08227836302321712,-0.08558456746085968,-0.06689804320960543,-0.07454931743886772,-0.07671425343074183,-0.04903665231295005,-0.04865000860598892,-0.05695606187510107,-0.07430760528391353,-0.03537891000029539,-0.02744241378901666,-0.09721550155728187,-0.06789053941388108,-0.07344483594299332,-0.08295690427434042,-0.03380980172352664,-0.04912814949586048,-0.04443792858013776,-0.042129381662433935,-0.03665068120425522,-0.04869417960751908,-0.047356574127524136,-0.061773256317420276,-0.05090478277050844,-0.05441297542767394,-0.057705279817169344,-0.03321592540433257,-0.05619945620746335,-0.048019047770891214,-0.050934686490242236,-0.030378774221434528,-0.06946536584074466,-0.052312373857666586,-0.057627459513867114
2017-09-01,-0.12753480807552492,-0.06640842673244507,-0.0797627292755074,-0.09334400599509882,-0.054824137151543835,-0.04626624677480645,-0.050833041258518764,-0.07352707585044645,-0.0840108255372768,-0.08690685332903568,-0.06794150437784502,-0.07355806446806835,-0.07715879069372415,-0.047441828867849166,-0.05245655637824096,-0.05902251240546007,-0.07550629114552364,-0.03934579678250577,-0.02803213427427962,-0.09910893062883089,-0.06979912899070953,-0.07460232251340447,-0.08407327173439248,-0.03489327171059957,-0.05030976471317886,-0.04308662779839076,-0.030434525599220073,-0.036828888693942054,-0.05106220104915554,-0.049015091205532414,-0.061697599447349476,-0.056997431232545144,-0.051670246048930564,-0.057987425680147926,-0.034575924490445886,-0.0559434358789934,-0.04863155929489046,-0.055391466416472385,-0.030806364626570444,-0.06931608543364362,-0.05242778580306071,-0.059060998378838936
2017-11-01,-0.1254453780789809,-0.06711124761249974,-0.07655310142071999,-0.09611312705443313,-0.05558786529504893,-0.04324952791940145,-0.04831635403448433,-0.07263057774994004,-0.08266794090964133,-0.08056388363783759,-0.06503676043734415,-0.0715373181753476,-0.07287511416780253,-0.04646436149786414,-0.05386313190167301,-0.0665300821378872,-0.07486781817914018,-0.03795766423342729,-0.027130663361324678,-0.09399894780774112,-0.0704944134685599,-0.0749941718101406,-0.08354055499302558,-0.03913195779241541,-0.04789431695143012,-0.04290813551479129,-0.03512413849939723,-0.035306793599546915,-0.05404884849647458,-0.04855758036364491,-0.06727008031773506,-0.05811603473477939,-0.04754160167814559,-0.057269251851313915,-0.03805619137661013,-0.05526800230930857,-0.047586000662563306,-0.05612465926002983,-0.02739007674620092,-0.0695844444179487,-0.051082914994718905,-0.05570918606826902
